TIME,Voltage
-3.000E-7,-2.00e-04
-2.995E-7,-2.00e-04
-2.990E-7,-6.00e-04
-2.985E-7,-6.00e-04
-2.980E-7,-2.00e-04
-2.975E-7,-2.00e-04
-2.970E-7,-2.00e-04
-2.965E-7,-2.00e-04
-2.960E-7,-8.00e-04
-2.955E-7,-8.00e-04
-2.950E-7,-6.00e-04
-2.945E-7,-6.00e-04
-2.940E-7,-4.00e-04
-2.935E-7,-4.00e-04
-2.930E-7,-4.00e-04
-2.925E-7,-4.00e-04
-2.920E-7,-2.00e-04
-2.915E-7,-2.00e-04
-2.910E-7,-8.00e-04
-2.905E-7,-8.00e-04
-2.900E-7,-6.00e-04
-2.895E-7,-6.00e-04
-2.890E-7,-6.00e-04
-2.885E-7,-6.00e-04
-2.880E-7,-8.00e-04
-2.875E-7,-8.00e-04
-2.870E-7,-8.00e-04
-2.865E-7,-8.00e-04
-2.860E-7,-1.00e-03
-2.855E-7,-1.00e-03
-2.850E-7,-4.00e-04
-2.845E-7,-4.00e-04
-2.840E-7,-6.00e-04
-2.835E-7,-6.00e-04
-2.830E-7,-1.00e-03
-2.825E-7,-1.00e-03
-2.820E-7,-6.00e-04
-2.815E-7,-6.00e-04
-2.810E-7,-6.00e-04
-2.805E-7,-6.00e-04
-2.800E-7,-8.00e-04
-2.795E-7,-8.00e-04
-2.790E-7,-8.00e-04
-2.785E-7,-8.00e-04
-2.780E-7,-4.00e-04
-2.775E-7,-4.00e-04
-2.770E-7,-4.00e-04
-2.765E-7,-4.00e-04
-2.760E-7,-4.00e-04
-2.755E-7,-4.00e-04
-2.750E-7,-1.00e-03
-2.745E-7,-1.00e-03
-2.740E-7,-6.00e-04
-2.735E-7,-6.00e-04
-2.730E-7,-6.00e-04
-2.725E-7,-6.00e-04
-2.720E-7,-1.00e-03
-2.715E-7,-1.00e-03
-2.710E-7,-8.00e-04
-2.705E-7,-8.00e-04
-2.700E-7,-6.00e-04
-2.695E-7,-6.00e-04
-2.690E-7,-4.00e-04
-2.685E-7,-4.00e-04
-2.680E-7,-6.00e-04
-2.675E-7,-6.00e-04
-2.670E-7,-8.00e-04
-2.665E-7,-8.00e-04
-2.660E-7,-4.00e-04
-2.655E-7,-4.00e-04
-2.650E-7,-6.00e-04
-2.645E-7,-6.00e-04
-2.640E-7,-1.00e-03
-2.635E-7,-1.00e-03
-2.630E-7,-6.00e-04
-2.625E-7,-6.00e-04
-2.620E-7,-4.00e-04
-2.615E-7,-4.00e-04
-2.610E-7,-2.00e-04
-2.605E-7,-2.00e-04
-2.600E-7,-2.00e-04
-2.595E-7,-2.00e-04
-2.590E-7,-6.00e-04
-2.585E-7,-6.00e-04
-2.580E-7,-4.00e-04
-2.575E-7,-4.00e-04
-2.570E-7,-4.00e-04
-2.565E-7,-4.00e-04
-2.560E-7,-6.00e-04
-2.555E-7,-6.00e-04
-2.550E-7,-8.00e-04
-2.545E-7,-8.00e-04
-2.540E-7,-2.00e-04
-2.535E-7,-2.00e-04
-2.530E-7,2.00e-04
-2.525E-7,2.00e-04
-2.520E-7,0.00e+00
-2.515E-7,0.00e+00
-2.510E-7,-2.00e-04
-2.505E-7,-2.00e-04
-2.500E-7,2.00e-04
-2.495E-7,2.00e-04
-2.490E-7,0.00e+00
-2.485E-7,0.00e+00
-2.480E-7,-6.00e-04
-2.475E-7,-6.00e-04
-2.470E-7,-6.00e-04
-2.465E-7,-6.00e-04
-2.460E-7,-2.00e-04
-2.455E-7,-2.00e-04
-2.450E-7,0.00e+00
-2.445E-7,0.00e+00
-2.440E-7,-2.00e-04
-2.435E-7,-2.00e-04
-2.430E-7,-6.00e-04
-2.425E-7,-6.00e-04
-2.420E-7,-4.00e-04
-2.415E-7,-4.00e-04
-2.410E-7,-2.00e-04
-2.405E-7,-2.00e-04
-2.400E-7,-6.00e-04
-2.395E-7,-6.00e-04
-2.390E-7,-6.00e-04
-2.385E-7,-6.00e-04
-2.380E-7,-2.00e-04
-2.375E-7,-2.00e-04
-2.370E-7,-2.00e-04
-2.365E-7,-2.00e-04
-2.360E-7,-4.00e-04
-2.355E-7,-4.00e-04
-2.350E-7,-6.00e-04
-2.345E-7,-6.00e-04
-2.340E-7,-4.00e-04
-2.335E-7,-4.00e-04
-2.330E-7,0.00e+00
-2.325E-7,0.00e+00
-2.320E-7,-6.00e-04
-2.315E-7,-6.00e-04
-2.310E-7,-4.00e-04
-2.305E-7,-4.00e-04
-2.300E-7,-2.00e-04
-2.295E-7,-2.00e-04
-2.290E-7,0.00e+00
-2.285E-7,0.00e+00
-2.280E-7,-2.00e-04
-2.275E-7,-2.00e-04
-2.270E-7,-6.00e-04
-2.265E-7,-6.00e-04
-2.260E-7,-4.00e-04
-2.255E-7,-4.00e-04
-2.250E-7,-2.00e-04
-2.245E-7,-2.00e-04
-2.240E-7,-6.00e-04
-2.235E-7,-6.00e-04
-2.230E-7,-6.00e-04
-2.225E-7,-6.00e-04
-2.220E-7,-4.00e-04
-2.215E-7,-4.00e-04
-2.210E-7,0.00e+00
-2.205E-7,0.00e+00
-2.200E-7,-4.00e-04
-2.195E-7,-4.00e-04
-2.190E-7,-6.00e-04
-2.185E-7,-6.00e-04
-2.180E-7,-4.00e-04
-2.175E-7,-4.00e-04
-2.170E-7,-2.00e-04
-2.165E-7,-2.00e-04
-2.160E-7,-6.00e-04
-2.155E-7,-6.00e-04
-2.150E-7,-8.00e-04
-2.145E-7,-8.00e-04
-2.140E-7,-4.00e-04
-2.135E-7,-4.00e-04
-2.130E-7,-2.00e-04
-2.125E-7,-2.00e-04
-2.120E-7,0.00e+00
-2.115E-7,0.00e+00
-2.110E-7,-4.00e-04
-2.105E-7,-4.00e-04
-2.100E-7,-2.00e-04
-2.095E-7,-2.00e-04
-2.090E-7,2.00e-04
-2.085E-7,2.00e-04
-2.080E-7,-4.00e-04
-2.075E-7,-4.00e-04
-2.070E-7,-4.00e-04
-2.065E-7,-4.00e-04
-2.060E-7,-2.00e-04
-2.055E-7,-2.00e-04
-2.050E-7,4.00e-04
-2.045E-7,4.00e-04
-2.040E-7,-2.00e-04
-2.035E-7,-2.00e-04
-2.030E-7,-8.00e-04
-2.025E-7,-8.00e-04
-2.020E-7,-2.00e-04
-2.015E-7,-2.00e-04
-2.010E-7,0.00e+00
-2.005E-7,0.00e+00
-2.000E-7,-4.00e-04
-1.995E-7,-4.00e-04
-1.990E-7,0.00e+00
-1.985E-7,0.00e+00
-1.980E-7,2.00e-04
-1.975E-7,2.00e-04
-1.970E-7,4.00e-04
-1.965E-7,4.00e-04
-1.960E-7,4.00e-04
-1.955E-7,4.00e-04
-1.950E-7,0.00e+00
-1.945E-7,0.00e+00
-1.940E-7,-2.00e-04
-1.935E-7,-2.00e-04
-1.930E-7,2.00e-04
-1.925E-7,2.00e-04
-1.920E-7,-4.00e-04
-1.915E-7,-4.00e-04
-1.910E-7,-4.00e-04
-1.905E-7,-4.00e-04
-1.900E-7,-2.00e-04
-1.895E-7,-2.00e-04
-1.890E-7,4.00e-04
-1.885E-7,4.00e-04
-1.880E-7,-2.00e-04
-1.875E-7,-2.00e-04
-1.870E-7,-4.00e-04
-1.865E-7,-4.00e-04
-1.860E-7,2.00e-04
-1.855E-7,2.00e-04
-1.850E-7,0.00e+00
-1.845E-7,0.00e+00
-1.840E-7,-2.00e-04
-1.835E-7,-2.00e-04
-1.830E-7,-6.00e-04
-1.825E-7,-6.00e-04
-1.820E-7,0.00e+00
-1.815E-7,0.00e+00
-1.810E-7,0.00e+00
-1.805E-7,0.00e+00
-1.800E-7,2.00e-04
-1.795E-7,2.00e-04
-1.790E-7,-4.00e-04
-1.785E-7,-4.00e-04
-1.780E-7,0.00e+00
-1.775E-7,0.00e+00
-1.770E-7,-2.00e-04
-1.765E-7,-2.00e-04
-1.760E-7,-4.00e-04
-1.755E-7,-4.00e-04
-1.750E-7,-4.00e-04
-1.745E-7,-4.00e-04
-1.740E-7,-4.00e-04
-1.735E-7,-4.00e-04
-1.730E-7,0.00e+00
-1.725E-7,0.00e+00
-1.720E-7,-2.00e-04
-1.715E-7,-2.00e-04
-1.710E-7,-4.00e-04
-1.705E-7,-4.00e-04
-1.700E-7,2.00e-04
-1.695E-7,2.00e-04
-1.690E-7,0.00e+00
-1.685E-7,0.00e+00
-1.680E-7,-2.00e-04
-1.675E-7,-2.00e-04
-1.670E-7,-2.00e-04
-1.665E-7,-2.00e-04
-1.660E-7,2.00e-04
-1.655E-7,2.00e-04
-1.650E-7,4.00e-04
-1.645E-7,4.00e-04
-1.640E-7,0.00e+00
-1.635E-7,0.00e+00
-1.630E-7,-2.00e-04
-1.625E-7,-2.00e-04
-1.620E-7,0.00e+00
-1.615E-7,0.00e+00
-1.610E-7,2.00e-04
-1.605E-7,2.00e-04
-1.600E-7,0.00e+00
-1.595E-7,0.00e+00
-1.590E-7,-2.00e-04
-1.585E-7,-2.00e-04
-1.580E-7,0.00e+00
-1.575E-7,0.00e+00
-1.570E-7,2.00e-04
-1.565E-7,2.00e-04
-1.560E-7,4.00e-04
-1.555E-7,4.00e-04
-1.550E-7,0.00e+00
-1.545E-7,0.00e+00
-1.540E-7,4.00e-04
-1.535E-7,4.00e-04
-1.530E-7,4.00e-04
-1.525E-7,4.00e-04
-1.520E-7,-2.00e-04
-1.515E-7,-2.00e-04
-1.510E-7,2.00e-04
-1.505E-7,2.00e-04
-1.500E-7,4.00e-04
-1.495E-7,4.00e-04
-1.490E-7,6.00e-04
-1.485E-7,6.00e-04
-1.480E-7,6.00e-04
-1.475E-7,6.00e-04
-1.470E-7,2.00e-04
-1.465E-7,2.00e-04
-1.460E-7,4.00e-04
-1.455E-7,4.00e-04
-1.450E-7,6.00e-04
-1.445E-7,6.00e-04
-1.440E-7,2.00e-04
-1.435E-7,2.00e-04
-1.430E-7,2.00e-04
-1.425E-7,2.00e-04
-1.420E-7,4.00e-04
-1.415E-7,4.00e-04
-1.410E-7,6.00e-04
-1.405E-7,6.00e-04
-1.400E-7,0.00e+00
-1.395E-7,0.00e+00
-1.390E-7,-2.00e-04
-1.385E-7,-2.00e-04
-1.380E-7,4.00e-04
-1.375E-7,4.00e-04
-1.370E-7,2.00e-04
-1.365E-7,2.00e-04
-1.360E-7,-2.00e-04
-1.355E-7,-2.00e-04
-1.350E-7,2.00e-04
-1.345E-7,2.00e-04
-1.340E-7,4.00e-04
-1.335E-7,4.00e-04
-1.330E-7,4.00e-04
-1.325E-7,4.00e-04
-1.320E-7,4.00e-04
-1.315E-7,4.00e-04
-1.310E-7,-2.00e-04
-1.305E-7,-2.00e-04
-1.300E-7,2.00e-04
-1.295E-7,2.00e-04
-1.290E-7,4.00e-04
-1.285E-7,4.00e-04
-1.280E-7,0.00e+00
-1.275E-7,0.00e+00
-1.270E-7,-2.00e-04
-1.265E-7,-2.00e-04
-1.260E-7,2.00e-04
-1.255E-7,2.00e-04
-1.250E-7,6.00e-04
-1.245E-7,6.00e-04
-1.240E-7,2.00e-04
-1.235E-7,2.00e-04
-1.230E-7,0.00e+00
-1.225E-7,0.00e+00
-1.220E-7,2.00e-04
-1.215E-7,2.00e-04
-1.210E-7,2.00e-04
-1.205E-7,2.00e-04
-1.200E-7,-2.00e-04
-1.195E-7,-2.00e-04
-1.190E-7,2.00e-04
-1.185E-7,2.00e-04
-1.180E-7,4.00e-04
-1.175E-7,4.00e-04
-1.170E-7,4.00e-04
-1.165E-7,4.00e-04
-1.160E-7,6.00e-04
-1.155E-7,6.00e-04
-1.150E-7,0.00e+00
-1.145E-7,0.00e+00
-1.140E-7,4.00e-04
-1.135E-7,4.00e-04
-1.130E-7,4.00e-04
-1.125E-7,4.00e-04
-1.120E-7,0.00e+00
-1.115E-7,0.00e+00
-1.110E-7,0.00e+00
-1.105E-7,0.00e+00
-1.100E-7,2.00e-04
-1.095E-7,2.00e-04
-1.090E-7,6.00e-04
-1.085E-7,6.00e-04
-1.080E-7,0.00e+00
-1.075E-7,0.00e+00
-1.070E-7,-2.00e-04
-1.065E-7,-2.00e-04
-1.060E-7,2.00e-04
-1.055E-7,2.00e-04
-1.050E-7,0.00e+00
-1.045E-7,0.00e+00
-1.040E-7,-4.00e-04
-1.035E-7,-4.00e-04
-1.030E-7,-2.00e-04
-1.025E-7,-2.00e-04
-1.020E-7,2.00e-04
-1.015E-7,2.00e-04
-1.010E-7,2.00e-04
-1.005E-7,2.00e-04
-1.000E-7,4.00e-04
-9.95E-8,4.00e-04
-9.90E-8,-2.00e-04
-9.85E-8,-2.00e-04
-9.80E-8,0.00e+00
-9.75E-8,0.00e+00
-9.70E-8,0.00e+00
-9.65E-8,0.00e+00
-9.60E-8,-2.00e-04
-9.55E-8,-2.00e-04
-9.50E-8,0.00e+00
-9.45E-8,0.00e+00
-9.40E-8,4.00e-04
-9.35E-8,4.00e-04
-9.30E-8,6.00e-04
-9.25E-8,6.00e-04
-9.20E-8,2.00e-04
-9.15E-8,2.00e-04
-9.10E-8,0.00e+00
-9.05E-8,0.00e+00
-9.00E-8,4.00e-04
-8.95E-8,4.00e-04
-8.90E-8,2.00e-04
-8.85E-8,2.00e-04
-8.80E-8,-4.00e-04
-8.75E-8,-4.00e-04
-8.70E-8,-2.00e-04
-8.65E-8,-2.00e-04
-8.60E-8,2.00e-04
-8.55E-8,2.00e-04
-8.50E-8,0.00e+00
-8.45E-8,0.00e+00
-8.40E-8,0.00e+00
-8.35E-8,0.00e+00
-8.30E-8,-4.00e-04
-8.25E-8,-4.00e-04
-8.20E-8,-4.00e-04
-8.15E-8,-4.00e-04
-8.10E-8,0.00e+00
-8.05E-8,0.00e+00
-8.00E-8,-4.00e-04
-7.95E-8,-4.00e-04
-7.90E-8,-4.00e-04
-7.85E-8,-4.00e-04
-7.80E-8,0.00e+00
-7.75E-8,0.00e+00
-7.70E-8,2.00e-04
-7.65E-8,2.00e-04
-7.60E-8,-2.00e-04
-7.55E-8,-2.00e-04
-7.50E-8,-8.00e-04
-7.45E-8,-8.00e-04
-7.40E-8,-2.00e-04
-7.35E-8,-2.00e-04
-7.30E-8,-4.00e-04
-7.25E-8,-4.00e-04
-7.20E-8,-6.00e-04
-7.15E-8,-6.00e-04
-7.10E-8,-6.00e-04
-7.05E-8,-6.00e-04
-7.00E-8,-2.00e-04
-6.95E-8,-2.00e-04
-6.90E-8,-2.00e-04
-6.85E-8,-2.00e-04
-6.80E-8,-2.00e-04
-6.75E-8,-2.00e-04
-6.70E-8,-6.00e-04
-6.65E-8,-6.00e-04
-6.60E-8,-4.00e-04
-6.55E-8,-4.00e-04
-6.50E-8,-2.00e-04
-6.45E-8,-2.00e-04
-6.40E-8,-6.00e-04
-6.35E-8,-6.00e-04
-6.30E-8,-6.00e-04
-6.25E-8,-6.00e-04
-6.20E-8,-4.00e-04
-6.15E-8,-4.00e-04
-6.10E-8,-2.00e-04
-6.05E-8,-2.00e-04
-6.00E-8,-4.00e-04
-5.95E-8,-4.00e-04
-5.90E-8,-6.00e-04
-5.85E-8,-6.00e-04
-5.80E-8,-4.00e-04
-5.75E-8,-4.00e-04
-5.70E-8,-4.00e-04
-5.65E-8,-4.00e-04
-5.60E-8,-6.00e-04
-5.55E-8,-6.00e-04
-5.50E-8,-6.00e-04
-5.45E-8,-6.00e-04
-5.40E-8,-4.00e-04
-5.35E-8,-4.00e-04
-5.30E-8,-4.00e-04
-5.25E-8,-4.00e-04
-5.20E-8,-2.00e-04
-5.15E-8,-2.00e-04
-5.10E-8,-6.00e-04
-5.05E-8,-6.00e-04
-5.00E-8,-6.00e-04
-4.95E-8,-6.00e-04
-4.90E-8,-4.00e-04
-4.85E-8,-4.00e-04
-4.80E-8,-8.00e-04
-4.75E-8,-8.00e-04
-4.70E-8,-6.00e-04
-4.65E-8,-6.00e-04
-4.60E-8,-4.00e-04
-4.55E-8,-4.00e-04
-4.50E-8,0.00e+00
-4.45E-8,0.00e+00
-4.40E-8,-4.00e-04
-4.35E-8,-4.00e-04
-4.30E-8,-6.00e-04
-4.25E-8,-6.00e-04
-4.20E-8,-2.00e-04
-4.15E-8,-2.00e-04
-4.10E-8,-2.00e-04
-4.05E-8,-2.00e-04
-4.00E-8,-8.00e-04
-3.95E-8,-8.00e-04
-3.90E-8,-4.00e-04
-3.85E-8,-4.00e-04
-3.80E-8,-2.00e-04
-3.75E-8,-2.00e-04
-3.70E-8,0.00e+00
-3.65E-8,0.00e+00
-3.60E-8,0.00e+00
-3.55E-8,0.00e+00
-3.50E-8,-8.00e-04
-3.45E-8,-8.00e-04
-3.40E-8,-4.00e-04
-3.35E-8,-4.00e-04
-3.30E-8,0.00e+00
-3.25E-8,0.00e+00
-3.20E-8,-4.00e-04
-3.15E-8,-4.00e-04
-3.10E-8,-4.00e-04
-3.05E-8,-4.00e-04
-3.00E-8,-2.00e-04
-2.95E-8,-2.00e-04
-2.90E-8,0.00e+00
-2.85E-8,0.00e+00
-2.80E-8,-2.00e-04
-2.75E-8,-2.00e-04
-2.70E-8,-4.00e-04
-2.65E-8,-4.00e-04
-2.60E-8,-2.00e-04
-2.55E-8,-2.00e-04
-2.50E-8,-2.00e-04
-2.45E-8,-2.00e-04
-2.40E-8,-4.00e-04
-2.35E-8,-4.00e-04
-2.30E-8,-4.00e-04
-2.25E-8,-4.00e-04
-2.20E-8,-2.00e-04
-2.15E-8,-2.00e-04
-2.10E-8,-2.00e-04
-2.05E-8,-2.00e-04
-2.00E-8,-2.00e-04
-1.95E-8,-2.00e-04
-1.90E-8,-6.00e-04
-1.85E-8,-6.00e-04
-1.80E-8,-8.00e-04
-1.75E-8,-8.00e-04
-1.70E-8,-4.00e-04
-1.65E-8,-4.00e-04
-1.60E-8,-1.20e-03
-1.55E-8,-1.20e-03
-1.50E-8,-1.20e-03
-1.45E-8,-1.20e-03
-1.40E-8,-8.00e-04
-1.35E-8,-8.00e-04
-1.30E-8,-8.00e-04
-1.25E-8,-8.00e-04
-1.20E-8,-1.40e-03
-1.15E-8,-1.40e-03
-1.10E-8,-2.00e-03
-1.05E-8,-2.00e-03
-1.00E-8,-1.60e-03
